ID	Acc	Reason	Class	Description
1	ALBU_BOVIN	Reagent and lab contaminant	Laboratory proteins	(P02769) Serum albumin precursor (Allergen Bos d 6) (BSA)
2	CTRA_BOVIN	Reagent	Laboratory proteins	(P00766) Chymotrypsinogen A (EC 3.4.21.1) [Contains: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]
3	CTRB_BOVIN	Reagent	Laboratory proteins	(P00767) Chymotrypsinogen B (EC 3.4.21.1) [Contains: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]
4	LALBA_BOVIN	Reagent and lab contaminant	Laboratory proteins	(P00711) Alpha-lactalbumin precursor (Lactose synthase B protein) (Allergen Bos d 4)
5	LYSC_LYSEN	Reagent	Laboratory proteins	(Q7M135) Lysyl endopeptidase (EC 3.4.21.50) (Lys-C)
6	PEPA_BOVIN	Reagent	Laboratory proteins	(P00792) Pepsin A precursor (EC 3.4.23.1)
7	PEPA_PIG	Reagent	Laboratory proteins	(P00791) Pepsin A precursor (EC 3.4.23.1)
8	PEPB_PIG	Reagent	Laboratory proteins	(Q10735) Pepsin B precursor (EC 3.4.23.2) (Parapepsin I) (Fragment)
9	PEPC_PIG	Reagent	Laboratory proteins	(P30879) Gastricsin precursor (EC 3.4.23.3) (Pepsinogen C) (Fragment)
10	SSPA_STAAU	Reagent	Laboratory proteins	(P04188) Glutamyl endopeptidase precursor (EC 3.4.21.19) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase) (Endoproteinase Glu-C)
11	TRY1_BOVIN	Reagent	Laboratory proteins	(P00760) Cationic trypsin precursor (EC 3.4.21.4) (Beta-trypsin) [Contains: Alpha-trypsin chain 1; Alpha-trypsin chain 2] (Fragment)
12	TRY2_BOVIN	Reagent	Laboratory proteins	(Q29463) Anionic trypsin precursor (EC 3.4.21.4)
13	TRYP_PIG	Reagent	Laboratory proteins	(P00761) Trypsin precursor (EC 3.4.21.4)
14	CAS1_BOVIN	Reagent and lab contaminant	Laboratory proteins	(P02662) Alpha-S1-casein precursor
15	CAS2_BOVIN	Reagent and lab contaminant	Laboratory proteins	(P02663) Alpha-S2-casein precursor [Contains: Casocidin-1 (Casocidin-I)]
16	CASB_BOVIN	Reagent and lab contaminant	Laboratory proteins	(P02666) Beta-casein precursor
17	CASK_BOVIN	Reagent and lab contaminant	Laboratory proteins	(P02668) Kappa-casein precursor [Contains: Casoxin C; Casoxin 6; Casoxin A; Casoxin B; Casoplatelin]
18	GFP_AEQVI	Reagent	Laboratory proteins	(P42212) Aequorea victoria Green fluorescent protein
19	PLMP_GRIFR	Reagent	Laboratory proteins	(P81054) Peptidyl-Lys metalloendopeptidase precursor - Grifola frondosa (LysN)
20	AMYS_HUMAN	Human saliva	Dust/contact proteins	"(P04745) Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)"
21	K1C10_HUMAN	Human skin	Dust/contact proteins	"(P13645) Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)"
22	K1C9_HUMAN	Human skin	Dust/contact proteins	"(P35527) Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)"
23	K2C1_HUMAN	Human skin	Dust/contact proteins	"(P04264) Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (67 kDa cytokeratin) (Hair alpha protein)"
24	K22E_HUMAN	Human skin	Dust/contact proteins	"(P35908) Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (K2e) (CK 2e)"
25	K1H1_HUMAN	Human hair	Dust/contact proteins	"(Q15323) Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1)"
26	K1H2_HUMAN	Human hair	Dust/contact proteins	"(Q14532) Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2)"
27	K1H4_HUMAN	Human hair	Dust/contact proteins	"(O76011) Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4)"
28	K1H5_HUMAN	Human hair	Dust/contact proteins	"(Q92764) Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5)"
29	K1H6_HUMAN	Human hair	Dust/contact proteins	"(O76013) Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6)"
30	K1H7_HUMAN	Human hair	Dust/contact proteins	"(O76014) Keratin, type I cuticular Ha7 (Hair keratin, type I Ha7)"
31	K1H8_HUMAN	Human hair	Dust/contact proteins	"(O76015) Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8)"
32	K1HA_HUMAN	Human hair	Dust/contact proteins	"(O76009) Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I)"
33	K1HB_HUMAN	Human hair	Dust/contact proteins	"(Q14525) Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II)"
34	KRHB1_HUMAN	Human hair	Dust/contact proteins	"(Q14533) Keratin, type II cuticular Hb1 (Hair keratin, type II Hb1) (ghHKb1) (ghHb1) (MLN 137)"
35	KRHB2_HUMAN	Human hair	Dust/contact proteins	"(Q9NSB4) Keratin, type II cuticular Hb2 (Hair keratin, type II Hb2)"
36	KRHB3_HUMAN	Human hair	Dust/contact proteins	"(P78385) Keratin, type II cuticular Hb3 (Hair keratin, type II Hb3)"
37	KRHB4_HUMAN	Human hair	Dust/contact proteins	"(Q9NSB2) Keratin, type II cuticular Hb4 (Hair keratin, type II Hb4)"
38	KRHB5_HUMAN	Human hair	Dust/contact proteins	"(P78386) Keratin, type II cuticular Hb5 (Hair keratin, type II Hb5)"
39	KRHB6_HUMAN	Human hair	Dust/contact proteins	"(O43790) Keratin, type II cuticular Hb6 (Hair keratin, type II Hb6) (ghHb6)"
40	K1C15_SHEEP	Sheep wool	Dust/contact proteins	"(O77727) Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)"
41	K1M1_SHEEP	Sheep wool	Dust/contact proteins	"(P02534) Keratin, type I microfibrillar 48 kDa, component 8C-1 (Low-sulfur keratin)"
